Competicao;Mandante;Visitante;Resultado;Gestao;Gols_Pro;Gols_Contra;Status_Jogo
Campeonato Brasileiro Série A;São Paulo;Grêmio;3:0;Julio Casares (2021-Presente);3;0;Vitória
Campeonato Brasileiro Série A;Palmeiras;São Paulo;5:0;Julio Casares (2021-Presente);0;5;Derrota
Campeonato Brasileiro Série A;Athletico-PR;São Paulo;1:1;Julio Casares (2021-Presente);1;1;Empate
Campeonato Brasileiro Série A;São Paulo;Cruzeiro;1:0;Julio Casares (2021-Presente);1;0;Vitória
Campeonato Brasileiro Série A;São Paulo;Bragantino;1:0;Julio Casares (2021-Presente);1;0;Vitória
Campeonato Brasileiro Série A;Santos;São Paulo;0:0;Julio Casares (2021-Presente);0;0;Empate
Campeonato Brasileiro Série A;Fluminense;São Paulo;1:0;Julio Casares (2021-Presente);0;1;Derrota
Campeonato Brasileiro Série A;São Paulo;Cuiabá;0:0;Julio Casares (2021-Presente);0;0;Empate
Campeonato Brasileiro Série A;Bahia;São Paulo;0:1;Julio Casares (2021-Presente);1;0;Vitória
Campeonato Brasileiro Série A;Atlético-MG;São Paulo;2:1;Julio Casares (2021-Presente);1;2;Derrota
Campeonato Brasileiro Série A;São Paulo;Flamengo;1:0;Julio Casares (2021-Presente);1;0;Vitória
Campeonato Paulista;São Paulo;Santo André;3:1;Julio Casares (2021-Presente);3;1;Vitória
Campeonato Paulista;Mirassol;São Paulo;1:1;Julio Casares (2021-Presente);1;1;Empate
Campeonato Paulista;São Paulo;Portuguesa;1:0;Julio Casares (2021-Presente);1;0;Vitória
Campeonato Paulista;Corinthians;São Paulo;1:2;Julio Casares (2021-Presente);2;1;Vitória
Campeonato Paulista;São Paulo;Água Santa;3:0;Julio Casares (2021-Presente);3;0;Vitória
Campeonato Paulista;Ponte Preta;São Paulo;2:0;Julio Casares (2021-Presente);0;2;Derrota
Campeonato Paulista;São Paulo;Santos;0:1;Julio Casares (2021-Presente);0;1;Derrota
Campeonato Paulista;São Paulo;Bragantino;2:2;Julio Casares (2021-Presente);2;2;Empate
Campeonato Paulista;Guarani;São Paulo;1:1;Julio Casares (2021-Presente);1;1;Empate
Campeonato Paulista;Inter Limeira;São Paulo;0:3;Julio Casares (2021-Presente);3;0;Vitória
Campeonato Paulista;São Paulo;Palmeiras;1:1;Julio Casares (2021-Presente);1;1;Empate
Campeonato Paulista;Ituano;São Paulo;2:3;Julio Casares (2021-Presente);3;2;Vitória
Copa Libertadores;CA Talleres;São Paulo;2:1;Julio Casares (2021-Presente);1;2;Derrota
Copa Libertadores;São Paulo;Cobresal;2:0;Julio Casares (2021-Presente);2;0;Vitória
Campeonato Brasileiro Série A;São Paulo;Fortaleza;1:2;Julio Casares (2021-Presente);1;2;Derrota
